model_revision,task_family,r_semantic_class,r_operation,r_selection_policy,r_scope,r_edit_budget,n,both_correct,broke,recovered,both_wrong,clean_accuracy,perturbed_accuracy,delta,delta_ci_low,delta_ci_high,delta_ci_method,clean_conditioned_failure,retention,discordant_rate,mcnemar_p_value,mcnemar_method,answer_flip_rate,invalid_or_clarification_rate,n_audit_excluded,delta_valid_only,mcnemar_p_valid_only
PIN_ME,mmlu,A,delete,keyboard_neighbor,anywhere,2,100,49,5,4,42,0.54,0.53,0.010000000000000009,-0.04999999999999993,0.07,BCa,0.09259259259259259,0.9814814814814815,0.09,0.7539062500000002,exact_midp,0.16,0.01,0,0.010101010101010055,0.7539062500000002
PIN_ME,mmlu,A,insert,filler_word,anywhere,1,100,51,3,0,46,0.54,0.51,0.030000000000000027,0.010000000000000009,0.08606597425245127,BCa,0.05555555555555555,0.9444444444444444,0.03,0.125,exact_midp,0.06,0.0,0,0.030000000000000027,0.125
PIN_ME,mmlu,A,insert,filler_word,anywhere,2,100,50,4,0,46,0.54,0.5,0.040000000000000036,0.010000000000000009,0.10000000000000003,BCa,0.07407407407407407,0.9259259259259258,0.04,0.062499999999999986,exact_midp,0.1,0.01,0,0.04040404040404033,0.062499999999999986
PIN_ME,mmlu,A,substitute,informative_word,answer_critical,1,100,50,4,2,44,0.54,0.52,0.020000000000000018,-0.020000000000000018,0.07000000000000006,BCa,0.07407407407407407,0.9629629629629629,0.06,0.453125,exact_midp,0.07,0.01,0,0.02020202020202011,0.453125
PIN_ME,mmlu,A,substitute,informative_word,answer_critical,2,100,46,8,1,45,0.54,0.47,0.07000000000000006,0.02999999999999997,0.14999999999999997,BCa,0.14814814814814814,0.8703703703703702,0.09,0.021484374999999983,exact_midp,0.1,0.01,0,0.07070707070707066,0.021484374999999983
PIN_ME,mmlu,A,substitute,keyboard_neighbor,anywhere,1,100,52,2,1,45,0.54,0.53,0.010000000000000009,-0.020000000000000018,0.050000000000000044,BCa,0.037037037037037035,0.9814814814814815,0.03,0.6249999999999999,exact_midp,0.04,0.01,0,0.010101010101010055,0.6249999999999999
PIN_ME,mmlu,A,substitute,keyboard_neighbor,anywhere,2,100,49,5,2,44,0.54,0.51,0.030000000000000027,-0.010000000000000009,0.09000000000000002,BCa,0.09259259259259259,0.9444444444444444,0.07,0.2890625,exact_midp,0.11,0.01,0,0.030303030303030276,0.2890625
PIN_ME,mmlu,A,substitute,keyboard_neighbor,anywhere,4,100,46,8,6,40,0.54,0.52,0.020000000000000018,-0.04999999999999999,0.09999999999999998,BCa,0.14814814814814814,0.9629629629629629,0.14,0.6072387695312499,exact_midp,0.22,0.01,0,0.02020202020202011,0.6072387695312499
PIN_ME,mmlu,A,substitute,keyboard_neighbor,content,1,90,44,4,0,42,0.5333333333333333,0.4888888888888889,0.04444444444444445,0.011111111111111127,0.11111111111111105,BCa,0.08333333333333333,0.9166666666666666,0.044444444444444446,0.062499999999999986,exact_midp,0.08888888888888889,0.0,0,0.04444444444444445,0.062499999999999986
PIN_ME,mmlu,A,substitute,keyboard_neighbor,content,2,90,41,7,2,40,0.5333333333333333,0.4777777777777778,0.055555555555555525,-0.011111111111111072,0.12222222222222223,BCa,0.14583333333333334,0.8958333333333334,0.1,0.10937499999999999,exact_midp,0.14444444444444443,0.0,0,0.055555555555555525,0.10937499999999999
PIN_ME,mmlu,B,substitute,real_word,anywhere,2,100,50,4,3,43,0.54,0.53,0.010000000000000009,-0.040000000000000036,0.06999999999999995,BCa,0.07407407407407407,0.9814814814814815,0.07,0.7265625000000001,exact_midp,0.14,0.01,0,0.010101010101010055,0.7265625000000001
PIN_ME,mmlu,B,substitute,real_word,anywhere,3,100,42,12,2,44,0.54,0.44,0.10000000000000003,0.040000000000000036,0.18000000000000005,BCa,0.2222222222222222,0.8148148148148148,0.14,0.007385253906249991,exact_midp,0.21,0.01,0,0.101010101010101,0.007385253906249991
PIN_ME,mmlu,B,substitute,real_word,anywhere,4,100,41,13,2,44,0.54,0.43,0.11000000000000004,0.04999999999999999,0.19999999999999996,BCa,0.24074074074074073,0.7962962962962963,0.15,0.004180908203124999,exact_midp,0.22,0.01,0,0.11111111111111105,0.004180908203124999
PIN_ME,mmlu,C,substitute,keyboard_neighbor,anywhere,0,100,43,11,5,41,0.54,0.48,0.06000000000000005,-0.010000000000000009,0.14999999999999997,BCa,0.2037037037037037,0.8888888888888888,0.16,0.14346313476562494,exact_midp,0.81,0.01,0,0.06060606060606055,0.14346313476562494
PIN_ME,mmlu_pro,A,delete,keyboard_neighbor,anywhere,1,100,31,3,3,63,0.34,0.34,0.0,-0.04999999999999999,0.04999999999999999,BCa,0.08823529411764706,1.0,0.06,0.6875000000000002,exact_midp,0.09,0.0,0,0.0,0.6875000000000002
PIN_ME,mmlu_pro,A,delete,keyboard_neighbor,anywhere,2,100,28,6,3,63,0.34,0.31,0.030000000000000027,-0.020000000000000018,0.1,BCa,0.17647058823529413,0.9117647058823529,0.09,0.34374999999999994,exact_midp,0.14,0.0,0,0.030000000000000027,0.34374999999999994
