model,condition,rows,break_pct,fix_pct,net_pp,net_ci_low_pp,net_ci_high_pp,churn_pct,churn_ci_low_pct,churn_ci_high_pct,mcnemar_naive_p
meta-llama_Llama-3.1-8B-Instruct,kbd_swap,5820,8.883161512027492,6.219931271477663,-2.663230240549828,-3.910660261631994,-1.4430109029181748,15.103092783505154,14.009405551887424,16.199534430977373,1.9168130938325103e-07
microsoft_phi-4,kbd_fatfinger,5820,6.030927835051546,5.429553264604811,-0.6013745704467355,-1.6719332433350425,0.4998014011868919,11.460481099656358,10.47295830477925,12.426114093259894,0.18797084197989866
microsoft_phi-4,kbd_neighbor,5820,7.81786941580756,5.618556701030928,-2.1993127147766325,-3.333478260869565,-1.0428865282349884,13.436426116838488,12.362787071640913,14.513979326786222,5.336607901057016e-06
microsoft_phi-4,kbd_nospace,5820,4.6563573883161515,4.879725085910653,0.2233676975945017,-0.7149813957390275,1.163489092310487,9.536082474226804,8.653185382811868,10.466537584866243,0.6105315909178928
microsoft_phi-4,kbd_random,5820,7.628865979381444,5.635738831615121,-1.9931271477663228,-3.1931373713032665,-0.8582180824129726,13.264604810996564,12.207525424307175,14.351660446596739,3.380299846325934e-05
microsoft_phi-4,kbd_repeat,5820,4.7938144329896915,5.549828178694158,0.7560137457044673,-0.1717718907020633,1.7441133640340123,10.343642611683848,9.393884471314353,11.305401662049862,0.07959304845783374
microsoft_phi-4,kbd_swap,5820,6.529209621993128,6.065292096219931,-0.4639175257731959,-1.5352501229393707,0.7123311996114405,12.594501718213058,11.538121314237575,13.70059213047341,0.33689256586881644
mistralai_Mistral-7B-Instruct-v0.3,kbd_fatfinger,5820,9.690721649484537,9.175257731958762,-0.5154639175257731,-1.889669369158186,0.8402534508808988,18.8659793814433,17.613533299816815,20.06912942961735,0.38148508762855204
mistralai_Mistral-7B-Instruct-v0.3,kbd_neighbor,5820,10.70446735395189,8.848797250859107,-1.8556701030927836,-3.315637956487319,-0.3790719756852243,19.553264604810998,18.32371242788559,20.916779211545407,0.0015037379208772037
mistralai_Mistral-7B-Instruct-v0.3,kbd_nospace,5820,8.144329896907216,7.336769759450172,-0.8075601374570448,-2.0369442881336464,0.341985819092276,15.481099656357388,14.3343462357189,16.500036994727356,0.1253563645039128
mistralai_Mistral-7B-Instruct-v0.3,kbd_random,5820,10.70446735395189,9.278350515463918,-1.4261168384879725,-2.8546839272344644,-0.06994441411698821,19.982817869415808,18.74997329516322,21.214251375813333,0.016158272729023836
mistralai_Mistral-7B-Instruct-v0.3,kbd_repeat,5820,9.02061855670103,8.058419243986254,-0.9621993127147767,-2.2797025105383386,0.36483958335093203,17.079037800687285,15.818321199472605,18.342940153316516,0.08102089483256673
mistralai_Mistral-7B-Instruct-v0.3,kbd_swap,5820,10.29209621993127,8.65979381443299,-1.632302405498282,-3.000192584758658,-0.3246490564451731,18.95189003436426,17.716572379440613,20.2196030918204,0.004627915984221902
