condition,benchmark,rows,kept_rows,kept_rate,clean_accuracy_on_kept,perturbed_accuracy_on_kept,raw_delta_pp,guarded_delta_pp,guarded_delta_ci_low_pp,guarded_delta_ci_high_pp
kbd_random,gsm8k,5000,4405,0.881,0.7219069239500567,0.6794551645856981,-5.1,-4.245175936435868,-5.83388346727899,-2.6319222597175367
kbd_random,gsm_symbolic,5000,4485,0.897,0.691638795986622,0.6530657748049052,-5.04,-3.8573021181716833,-5.261984392419175,-2.4526198439241917
kbd_random,humaneval,4100,3525,0.8597560975609756,0.7026950354609929,0.6819858156028369,-2.4878048780487805,-2.070921985815603,-4.9361702127659575,0.45390070921985815
kbd_random,mmlu_pro,5000,4760,0.952,0.32752100840336135,0.30756302521008405,-1.8399999999999999,-1.9957983193277309,-3.080208582119258,-0.8860759493670887
kbd_random,truthfulqa,5000,4960,0.992,0.5870967741935483,0.5379032258064517,-4.84,-4.919354838709678,-6.468859176836564,-3.4219348306332877
kbd_repeat,gsm1k,5000,4445,0.889,0.6656917885264342,0.6659167604049494,-0.02,0.02249718785151856,-1.2776086833886344,1.3369599880668837
kbd_repeat,gsm8k,5000,4405,0.881,0.7219069239500567,0.7185017026106697,-0.5599999999999999,-0.340522133938706,-1.5504850498338871,1.023488111085009
kbd_repeat,gsm_symbolic,5000,4485,0.897,0.691638795986622,0.696098104793757,0.06,0.4459308807134894,-0.6465997770345596,1.516164994425864
kbd_repeat,humaneval,4100,3525,0.8597560975609756,0.7026950354609929,0.6831205673758866,-1.975609756097561,-1.9574468085106382,-4.028368794326241,0.11347517730496454
kbd_repeat,mmlu_pro,5000,4765,0.953,0.32801678908709336,0.3200419727177335,-0.74,-0.7974816369359917,-1.8450092256413313,0.23085600977011994
kbd_repeat,truthfulqa,5000,4960,0.992,0.5870967741935483,0.5723790322580645,-1.34,-1.471774193548387,-2.640321243523316,-0.2802732732732733
kbd_swap,gsm1k,5000,4420,0.884,0.665158371040724,0.6599547511312217,-1.1199999999999999,-0.5203619909502262,-1.9266665310523,0.9297700212160331
kbd_swap,gsm8k,5000,4345,0.869,0.7212888377445339,0.7070195627157653,-1.94,-1.42692750287687,-2.8143192110255333,-0.023282210249884944
kbd_swap,gsm_symbolic,5000,4390,0.878,0.6920273348519362,0.6838268792710707,-1.54,-0.8200455580865604,-1.9595671981776766,0.3416856492027335
kbd_swap,humaneval,4100,3500,0.8536585365853658,0.7045714285714286,0.6974285714285714,-1.097560975609756,-0.7142857142857143,-2.857142857142857,1.4007142857142818
kbd_swap,mmlu_pro,5000,4760,0.952,0.32752100840336135,0.3144957983193277,-1.26,-1.3025210084033614,-2.328103981705677,-0.25263157894736843
kbd_swap,truthfulqa,5000,4960,0.992,0.5870967741935483,0.5578629032258065,-2.78,-2.9233870967741935,-4.213835685483871,-1.680281249482007
spoken_casual,gsm1k,5000,4935,0.987,0.6512664640324215,0.6052684903748734,-5.06,-4.599797365754813,-6.08715395077436,-3.053720779300296
spoken_casual,gsm8k,5000,4945,0.989,0.7183013144590495,0.6616784630940343,-5.74,-5.6622851365015165,-7.220642848187045,-4.11522633744856
spoken_casual,gsm_symbolic,5000,4900,0.98,0.679795918367347,0.6314285714285715,-5.140000000000001,-4.836734693877551,-6.347448979591837,-3.4076530612244924
spoken_casual,humaneval,4100,3960,0.9658536585365853,0.7017676767676768,0.6411616161616162,-6.170731707317073,-6.0606060606060606,-8.528402797334083,-3.498067771480499
spoken_casual,mmlu_pro,5000,4575,0.915,0.31475409836065577,0.30120218579234975,-1.6199999999999999,-1.355191256830601,-2.598395411502776,-0.02185673168028318
spoken_casual,truthfulqa,5000,3775,0.755,0.574569536423841,0.5332450331125828,-4.08,-4.1324503311258285,-5.868225127646393,-2.394327880512093
spoken_filler_stripped,gsm1k,5000,4815,0.963,0.6525441329179646,0.6157840083073728,-4.1000000000000005,-3.67601246105919,-5.247644029923249,-2.0308784762882532
spoken_filler_stripped,gsm8k,5000,4810,0.962,0.7170478170478171,0.6577962577962578,-6.239999999999999,-5.925155925155925,-7.546227728018487,-4.397865235926281
spoken_filler_stripped,gsm_symbolic,5000,4820,0.964,0.6827800829875519,0.6315352697095435,-5.800000000000001,-5.124481327800829,-6.639004149377594,-3.589211618257261
spoken_filler_stripped,humaneval,4100,3770,0.9195121951219513,0.7005305039787798,0.6389920424403183,-6.707317073170732,-6.153846153846154,-8.941938178780283,-3.4133018372703416
spoken_filler_stripped,mmlu_pro,5000,4275,0.855,0.30853801169590644,0.3001169590643275,-1.32,-0.8421052631578947,-2.1236872812135354,0.47342906795938866
spoken_filler_stripped,truthfulqa,5000,3025,0.605,0.5748760330578513,0.5345454545454545,-5.0,-4.033057851239669,-5.8920845361559575,-2.2221315932572057
spoken_formal,gsm1k,5000,4950,0.99,0.6513131313131313,0.6290909090909091,-2.44,-2.2222222222222223,-3.6740268996655843,-0.8208131208131207
spoken_formal,gsm8k,5000,4985,0.997,0.717753259779338,0.6928786359077231,-2.64,-2.4874623871614845,-3.8018449422520972,-1.1880939099946213
spoken_formal,gsm_symbolic,5000,4940,0.988,0.6781376518218624,0.6289473684210526,-5.4,-4.919028340080972,-6.3770242914979764,-3.4615384615384617
spoken_formal,humaneval,4100,4005,0.9768292682926829,0.6963795255930088,0.6811485642946317,-1.5365853658536586,-1.5230961298377028,-3.6252085072489297,0.47440699126092384
spoken_formal,mmlu_pro,5000,4755,0.951,0.3207150368033649,0.3068349106203996,-1.66,-1.38801261829653,-2.508032704582945,-0.2708965012187285
spoken_formal,truthfulqa,5000,4355,0.871,0.5802525832376578,0.5717566016073479,-1.16,-0.8495981630309988,-2.204304483893595,0.5596221959858314
spoken_recast,gsm1k,5000,3570,0.714,0.6792717086834734,0.538375350140056,-22.56,-14.089635854341736,-16.958982139760707,-11.473116778262746
spoken_recast,gsm8k,5000,3620,0.724,0.7331491712707182,0.575414364640884,-26.32,-15.773480662983424,-18.37875271393277,-13.167139791100302
spoken_recast,gsm_symbolic,5000,3525,0.705,0.6998581560283688,0.556595744680851,-24.740000000000002,-14.326241134751774,-16.76595744680851,-11.829787234042554
spoken_recast,humaneval,4100,3465,0.8451219512195122,0.7004329004329004,0.5743145743145743,-14.365853658536585,-12.611832611832613,-15.949265844258514,-9.241059113300494
spoken_recast,mmlu_pro,5000,3990,0.798,0.3213032581453634,0.3130325814536341,-1.34,-0.8270676691729323,-2.1722985157442087,0.4251481305449929
spoken_recast,truthfulqa,5000,3350,0.67,0.6065671641791045,0.5847761194029851,-2.56,-2.1791044776119404,-3.9350459242250286,-0.41290723318723693
spoken_reflow,gsm1k,5000,4715,0.943,0.6589607635206787,0.624814422057264,-4.42,-3.414634146341464,-5.068650024851147,-1.8886928210646137
spoken_reflow,gsm8k,5000,4690,0.938,0.7202558635394456,0.6688699360341152,-6.58,-5.138592750533049,-6.782753467519731,-3.634263435122389
spoken_reflow,gsm_symbolic,5000,4695,0.939,0.6845580404685836,0.6379126730564431,-6.140000000000001,-4.664536741214057,-6.1554845580404685,-3.258785942492013
spoken_reflow,humaneval,4100,3775,0.9207317073170732,0.6980132450331126,0.6378807947019868,-6.317073170731708,-6.013245033112582,-8.571428571428571,-3.399134909389216
spoken_reflow,mmlu_pro,5000,4340,0.868,0.3117511520737327,0.3064516129032258,-1.18,-0.5299539170506912,-1.7634596071933744,0.7597595379820673
spoken_reflow,truthfulqa,5000,3470,0.694,0.593371757925072,0.5743515850144092,-2.5,-1.9020172910662825,-3.5410395541260526,-0.3258660130718957
spoken_reflow_llama,gsm1k,5000,4620,0.924,0.6608225108225109,0.6346320346320347,-3.9600000000000004,-2.619047619047619,-4.284168384334866,-1.0978537015622072
spoken_reflow_llama,gsm8k,5000,4680,0.936,0.7207264957264957,0.6726495726495727,-6.4399999999999995,-4.807692307692308,-6.543927745577946,-3.2783198444325756
spoken_reflow_llama,gsm_symbolic,5000,4590,0.918,0.6858387799564271,0.6529411764705882,-5.42,-3.2897603485838784,-4.814814814814815,-1.8954248366013071
spoken_reflow_llama,humaneval,4100,3665,0.8939024390243903,0.7004092769440655,0.5950886766712142,-11.0,-10.53206002728513,-13.586065141772952,-7.622721876766536
spoken_reflow_llama,mmlu_pro,5000,4085,0.817,0.31334149326805383,0.3006119951040392,-1.7999999999999998,-1.2729498164014688,-2.561639509915372,0.024420770753289085
spoken_reflow_llama,truthfulqa,5000,3210,0.642,0.5890965732087228,0.5688473520249221,-2.18,-2.0249221183800623,-3.7216699639241244,-0.37547075342316716
